46,6,8,485,26,37,2,4,2,0,11,54,4,13,543,14,14,5,2,1,0,8
54,4,13,543,14,14,5,2,1,0,8,46,6,8,485,26,37,2,4,2,0,11
57,4,11,547,13,23,3,2,0,0,8,43,5,8,409,23,28,6,3,1,1,7
43,5,8,409,23,28,6,3,1,1,7,57,4,11,547,13,23,3,2,0,0,8
63,4,12,502,11,37,7,0,1,0,11,37,1,10,287,22,30,4,2,1,0,9
37,1,10,287,22,30,4,2,1,0,9,63,4,12,502,11,37,7,0,1,0,11
66,6,15,672,25,22,5,2,1,0,9,34,10,12,347,21,30,5,3,2,0,11
34,10,12,347,21,30,5,3,2,0,11,66,6,15,672,25,22,5,2,1,0,9
37,1,6,372,25,13,2,2,2,0,9,63,4,13,658,12,21,5,1,1,0,8
63,4,13,658,12,21,5,1,1,0,8,37,1,6,372,25,13,2,2,2,0,9
53,5,19,437,17,11,8,0,2,0,10,47,0,6,385,17,26,2,3,2,0,16
47,0,6,385,17,26,2,3,2,0,16,53,5,19,437,17,11,8,0,2,0,10
40,2,15,387,15,17,3,1,2,0,11,60,5,15,573,27,43,5,0,2,0,12
60,5,15,573,27,43,5,0,2,0,12,40,2,15,387,15,17,3,1,2,0,11
42,3,9,401,22,23,2,7,2,0,11,58,8,17,555,6,9,9,2,2,0,14
58,8,17,555,6,9,9,2,2,0,14,42,3,9,401,22,23,2,7,2,0,11
65,8,18,673,19,8,5,5,1,0,14,34,2,5,360,23,20,4,3,2,0,9
34,2,5,360,23,20,4,3,2,0,9,65,8,18,673,19,8,5,5,1,0,14
48,3,18,369,16,31,8,2,0,0,10,52,6,16,408,9,35,5,5,1,0,9
52,6,16,408,9,35,5,5,1,0,9,48,3,18,369,16,31,8,2,0,0,10
62,11,24,720,16,11,5,3,0,0,12,38,6,15,429,14,22,1,3,2,0,9
38,6,15,429,14,22,1,3,2,0,9,62,11,24,720,16,11,5,3,0,0,12
58,7,13,423,18,18,2,2,0,0,8,42,4,15,299,11,23,5,3,5,0,20
42,4,15,299,11,23,5,3,5,0,20,58,7,13,423,18,18,2,2,0,0,8
42,2,6,382,24,33,1,0,2,1,10,57,3,11,500,18,15,9,1,1,0,8
57,3,11,500,18,15,9,1,1,0,8,42,2,6,382,24,33,1,0,2,1,10
60,11,25,629,12,8,5,1,0,0,9,40,3,10,435,13,39,2,3,0,0,5
40,3,10,435,13,39,2,3,0,0,5,60,11,25,629,12,8,5,1,0,0,9
61,5,11,494,21,18,6,1,6,0,14,39,5,12,515,11,31,4,0,2,0,10
39,5,12,515,11,31,4,0,2,0,10,61,5,11,494,21,18,6,1,6,0,14
51,1,12,314,22,41,5,2,2,0,14,49,6,12,305,12,25,5,0,2,1,16
49,6,12,305,12,25,5,0,2,1,16,51,1,12,314,22,41,5,2,2,0,14
33,3,6,283,28,16,3,2,1,0,16,67,3,9,572,12,18,5,2,1,0,13
67,3,9,572,12,18,5,2,1,0,13,33,3,6,283,28,16,3,2,1,0,16
58,3,8,461,15,21,5,2,1,0,8,42,6,9,345,18,29,2,4,2,0,19
42,6,9,345,18,29,2,4,2,0,19,58,3,8,461,15,21,5,2,1,0,8
77,14,32,760,5,24,10,1,0,0,9,23,1,5,224,16,29,3,1,2,0,4
23,1,5,224,16,29,3,1,2,0,4,77,14,32,760,5,24,10,1,0,0,9
37,2,8,359,14,25,6,2,1,1,6,63,6,16,625,22,17,7,2,1,0,13
63,6,16,625,22,17,7,2,1,0,13,37,2,8,359,14,25,6,2,1,1,6
70,8,22,765,21,12,8,1,1,0,8,30,2,6,327,21,33,5,3,1,0,14
30,2,6,327,21,33,5,3,1,0,14,70,8,22,765,21,12,8,1,1,0,8
62,10,17,544,15,26,7,3,1,0,16,38,5,13,341,14,24,2,3,3,0,13
38,5,13,341,14,24,2,3,3,0,13,62,10,17,544,15,26,7,3,1,0,16
50,5,17,382,18,13,6,5,0,1,12,50,3,11,389,21,30,2,0,3,1,10
50,3,11,389,21,30,2,0,3,1,10,50,5,17,382,18,13,6,5,0,1,12
58,1,5,396,14,24,7,1,0,1,8,42,4,14,289,19,30,7,1,1,0,10
42,4,14,289,19,30,7,1,1,0,10,58,1,5,396,14,24,7,1,0,1,8
52,5,11,447,18,13,10,1,1,1,13,48,5,8,425,14,37,3,0,1,0,11
48,5,8,425,14,37,3,0,1,0,11,52,5,11,447,18,13,10,1,1,1,13
44,5,13,331,26,16,6,1,4,0,14,56,3,9,436,19,28,3,3,2,0,11
56,3,9,436,19,28,3,3,2,0,11,44,5,13,331,26,16,6,1,4,0,14
64,12,25,572,9,25,6,1,2,0,11,36,2,12,301,21,20,4,5,1,0,8
36,2,12,301,21,20,4,5,1,0,8,64,12,25,572,9,25,6,1,2,0,11
19,2,6,200,21,36,4,2,3,0,16,81,3,15,913,17,20,5,2,1,0,8
81,3,15,913,17,20,5,2,1,0,8,19,2,6,200,21,36,4,2,3,0,16
44,5,13,331,26,16,6,1,3,0,14,56,3,9,436,19,28,3,3,2,0,11
56,3,9,436,19,28,3,3,2,0,11,44,5,13,331,26,16,6,1,3,0,14
57,5,23,488,11,14,5,2,2,0,11,43,5,9,382,23,26,2,1,3,0,16
43,5,9,382,23,26,2,1,3,0,16,57,5,23,488,11,14,5,2,2,0,11
78,8,24,767,9,9,4,2,0,0,5,22,2,3,217,18,39,0,13,0,0,13
22,2,3,217,18,39,0,13,0,0,13,78,8,24,767,9,9,4,2,0,0,5
42,5,15,370,17,8,7,2,3,0,12,58,5,10,551,14,26,1,4,3,0,14
58,5,10,551,14,26,1,4,3,0,14,42,5,15,370,17,8,7,2,3,0,12
73,6,24,704,12,23,7,2,2,0,10,27,1,8,252,14,35,6,1,2,0,7
27,1,8,252,14,35,6,1,2,0,7,73,6,24,704,12,23,7,2,2,0,10
51,6,20,432,16,26,7,0,1,0,11,49,6,19,423,19,34,4,1,1,0,12
49,6,19,423,19,34,4,1,1,0,12,51,6,20,432,16,26,7,0,1,0,11
58,1,11,464,15,32,4,1,3,0,13,42,6,9,335,30,18,3,0,3,0,14
42,6,9,335,30,18,3,0,3,0,14,58,1,11,464,15,32,4,1,3,0,13
48,3,133,444,22,19,4,1,2,0,10,52,6,15,495,25,19,4,0,1,0,11
52,6,15,495,25,19,4,0,1,0,11,48,3,133,444,22,19,4,1,2,0,10
51,5,12,496,23,27,4,3,3,0,9,49,4,10,473,18,23,4,2,2,0,12
49,4,10,473,18,23,4,2,2,0,12,51,5,12,496,23,27,4,3,3,0,9
47,2,9,437,12,28,2,1,2,0,7,53,9,21,513,6,32,5,1,3,1,13
53,9,21,513,6,32,5,1,3,1,13,47,2,9,437,12,28,2,1,2,0,7
34,3,7,289,15,49,3,2,2,0,9,66,2,11,532,23,19,10,2,1,0,8
66,2,11,532,23,19,10,2,1,0,8,34,3,7,289,15,49,3,2,2,0,9
28,3,14,234,12,32,3,3,3,0,12,72,11,17,635,11,21,9,1,4,0,14
72,11,17,635,11,21,9,1,4,0,14,28,3,14,234,12,32,3,3,3,0,12
43,5,14,387,25,28,6,2,2,0,9,57,6,9,520,11,31,8,4,1,1,11
57,6,9,520,11,31,8,4,1,1,11,43,5,14,387,25,28,6,2,2,0,9
